Class,Pos,Driver,Car,Points,Counted
,95,J*an*a *óm*z,Nissan GTP ZX-T,2,2
,96,J*vi*r *al*es*er*s,Nissan GTP ZX-T,2,1
,97,B*un* A*ay*,Nissan GTP ZX-T,2,1
,98,G*ov*nn* L*re*zo*Gu*st*ll*,Nissan GTP ZX-T,2,1
,99,W*ll*am*Av*ry,Nissan GTP ZX-T,1,2
,100,E*il*an* M*ss*ri,Nissan GTP ZX-T,1,1
,101,A*ej*nd*o *er*án*ez,Nissan GTP ZX-T,1,1
,102,C*rl*Ku*e,Nissan GTP ZX-T,1,1
,103,M*rc*s *er*án*ez*N,Nissan GTP ZX-T,1,1
,104,B*ro* L*ng,Nissan GTP ZX-T,0,5
,105,M*lt* S*hn*id*r,Nissan GTP ZX-T,0,3
,106,J*sh*a *T *o,Nissan GTP ZX-T,0,3
,107,C*is*ia* A*ri*as,Nissan GTP ZX-T,0,3
,108,M*ch*el*J *ay*or,Nissan GTP ZX-T,0,2
,109,D*ni*l *ér*z *oy*,Nissan GTP ZX-T,0,2
,110,M*th*w *el*on*,Nissan GTP ZX-T,0,2
,111,D*vi* P*dr*n,Nissan GTP ZX-T,0,1
,112,A*no*d *oc*,Nissan GTP ZX-T,0,1
,113,B*ay*en*Ma*ti*2,Nissan GTP ZX-T,0,1
,114,J*na*ha* A*on*o,Nissan GTP ZX-T,0,1
,115,D*n *re*us,Nissan GTP ZX-T,0,1
,116,R*y *ar*ow,Nissan GTP ZX-T,0,1
,117,T*rs*en*Ac*em*nn,Nissan GTP ZX-T,0,1
,118,F*rn*nd* M*tt*s,Nissan GTP ZX-T,0,1
,119,S*rg*y *om*no*,Nissan GTP ZX-T,0,1
,120,L*ga* E*wa*ds,Nissan GTP ZX-T,0,1
,121,A*ex*R *aw*e,Nissan GTP ZX-T,0,1
,122,S*nn* D* G*ae*e,Nissan GTP ZX-T,0,1
,123,S*m *il*in*ha*,Nissan GTP ZX-T,0,1
,124,S*ef*n *oe*st*r,Nissan GTP ZX-T,0,1
,125,G*nz*lo*Al*cé*,Nissan GTP ZX-T,0,1
,126,O*ca* A*ej*nd*o *am*re*,Nissan GTP ZX-T,0,1
,127,N*ah*Br*wn,Nissan GTP ZX-T,0,1
,128,C*dy*Me*do*s,Nissan GTP ZX-T,0,1
,129,M*tt*Ma*on*,Nissan GTP ZX-T,0,1
,130,G*ra*d *ol*ú,Nissan GTP ZX-T,0,1
,131,L*ka* H*rd*,Nissan GTP ZX-T,0,1
,132,A*ex*Te*,Nissan GTP ZX-T,0,1
,133,S*ef*no*Ro*er* R*be*si,Nissan GTP ZX-T,0,1
,134,P*ñe*ro*Ga*ri*l,Nissan GTP ZX-T,0,1
,135,D*vi* D*vi*on,Nissan GTP ZX-T,0,1
,136,A*ba*es* L*ca,Nissan GTP ZX-T,0,1
,137,J*rg* L*pe* I*qu*er*o,Nissan GTP ZX-T,0,1
,138,R*bé* G*rr*do*,Nissan GTP ZX-T,0,1
,139,R*y *re*it*2,Nissan GTP ZX-T,0,1
,140,J*sú* S*nc*ez*Mo*al*s,Nissan GTP ZX-T,0,1
,141,J*ny* H*nm*,Nissan GTP ZX-T,0,2
,142,J*me* N*nn,Nissan GTP ZX-T,0,1
,143,E*il*o *ap*an*,Nissan GTP ZX-T,0,1
,144,C*li* M*ll*n,Nissan GTP ZX-T,0,1
,145,C*ri*to*he* R*Mc*ar*an*,Nissan GTP ZX-T,0,1
,146,T*by*Ye*ma*s,Nissan GTP ZX-T,0,1
,147,A*ro* E*an*,Nissan GTP ZX-T,0,1
,148,R*be*t *ho*ps*n1*,Nissan GTP ZX-T,0,1
,149,T*bi*s *öh*er,Nissan GTP ZX-T,0,1
,150,J*mm* D*EV*S,Nissan GTP ZX-T,0,1
,151,R*an*Ro*in*on*,Nissan GTP ZX-T,0,1
,152,A*ge*o *in*ci*s,Nissan GTP ZX-T,0,1
,153,P*bl* C*st*,Nissan GTP ZX-T,0,1
,154,D*vi* G*lv*z *ui*ez,Nissan GTP ZX-T,0,1
,155,J*mi* M*ud*le*,Nissan GTP ZX-T,0,1
,156,C*ri* L*pe*3,Nissan GTP ZX-T,0,1
,157,J*ck*Su*li*an,Nissan GTP ZX-T,0,1
,158,J*hn*J *ou*la*,Nissan GTP ZX-T,0,1
,159,D*n *or*e,Nissan GTP ZX-T,0,1
,160,F*rn*nd* M*de*La*a,Nissan GTP ZX-T,0,1
,161,L*o *eq*ei*o,Nissan GTP ZX-T,0,1
,162,R*be*t *br*ht*,Nissan GTP ZX-T,0,1
,163,R*an*D *il*on,Nissan GTP ZX-T,0,1
,164,N*ch*la* W*th*rb*e,Nissan GTP ZX-T,0,1
,165,E*cl*de* C*di*a,Nissan GTP ZX-T,0,1
,166,D*nn* S*it*er,Nissan GTP ZX-T,0,1
