Class,Pos,Driver,Car,Points,Counted
,104,P*dd* S*ro*le,Audi 90 GTO,0,1
,105,B*an*on*El*in*,Audi 90 GTO,0,1
,106,N*ko*ay*So*ol*v2,Audi 90 GTO,0,1
,107,M*rc*Ga*ma*k,Audi 90 GTO,0,1
,108,M*rl*we*Du*ca*,Audi 90 GTO,0,1
,109,A*th*ny*Ci*in*,Audi 90 GTO,0,1
,110,D*ur*a *uj*r,Audi 90 GTO,0,1
,111,J*rd* T*es,Audi 90 GTO,0,1
,112,F*an*o *cu*i,Audi 90 GTO,0,1
,113,K*le*De*n2,Audi 90 GTO,0,1
,114,B*e *he*pa*d,Audi 90 GTO,0,1
,115,S*b *ix*er,Audi 90 GTO,0,1
,116,D*na*d *ea*,Audi 90 GTO,0,1
,117,A*dr*as*He*ck,Audi 90 GTO,0,1
,118,B*ia* N*uy*n3,Audi 90 GTO,0,1
,119,G*ne*is*Wi*li*ms,Audi 90 GTO,0,1
,120,S*ba*ti*n *oi*er,Audi 90 GTO,0,1
,121,J*de* C*eu*g,Audi 90 GTO,0,1
,122,P*we* P*wl*k,Audi 90 GTO,0,1
